GAME_ID,DATE_KEY,OPPONENT_ID,WIN_FLAG,RUNNING_WIN_PCT,WIN_STREAK,POINT_DIFF,PTS,PLUS_MINUS
0022301120,20240405,5,1,0.5487804878048781,1,15.0,119,15.0
0022301133,20240407,16,0,0.5421686746987951,0,-2.0,115,-2.0
0022301147,20240409,12,1,0.5476190476190477,1,6.0,117,6.0
0022301161,20240410,29,0,0.5411764705882353,0,-19.0,92,-19.0
0022301176,20240412,17,1,0.5465116279069767,1,22.0,125,22.0
0022301189,20240414,17,1,0.5517241379310345,2,15.0,118,15.0
0052300101,20240417,19,0,0.5454545454545454,0,-1.0,104,-1.0
0052300201,20240419,13,1,0.550561797752809,1,21.0,112,21.0
0042300101,20240421,7,0,0.5444444444444444,0,-20.0,94,-20.0
0042300102,20240424,7,1,0.5494505494505495,1,10.0,111,10.0
0042300103,20240427,7,0,0.5434782608695652,0,-20.0,84,-20.0
0042300104,20240429,7,0,0.5376344086021505,0,-14.0,88,-14.0
0042300105,20240501,7,0,0.5319148936170213,0,-34.0,84,-34.0
